Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2024-08-21,225.3511962890625,165.0504913330078,421.6715393066406,226.92387876417723,166.04567062308269,423.91836557959886,224.00745927475182,163.87617187439943,419.26561024554667,225.47065071716546,164.35385368177072,421.6118605911061,34765500,22902000,16067300
2024-08-22,223.4898681640625,163.01036071777344,413.13153076171875,227.28221598709214,166.78208331350032,424.30613578026436,222.86278176595104,162.52271742896883,412.1969990352219,226.7347608131935,166.45367234576213,421.8902550651885,43695300,22493300,19361900
2024-08-23,225.78916931152344,164.82159423828125,414.36431884765625,227.16278137803022,165.37889222824714,416.8199448280934,223.29080225181497,163.04022993569524,409.69166039420327,224.61464290366072,163.92593892372628,414.5532154876874,38677300,13955700,18493800
2024-08-26,226.12757873535156,165.35899353027344,411.08349609375,226.2271215594374,166.74229212809584,414.85144695028356,222.8528263811224,163.6671917839428,408.9460150702165,225.70952621277567,165.57793418764655,413.94673947074824,30602200,14190400,13152800
2024-08-27,226.97366333007812,163.8861083984375,411.43145751953125,227.7898720189865,165.63763356275666,411.9484202096587,223.84820980142854,163.66718293812755,407.8623548739229,224.9530683997657,165.0405199503333,410.4571501735566,35934600,11821900,13492900
2024-08-28,225.4407958984375,162.06494140625,408.2103576660156,228.79517959293358,164.80168425036075,412.58474406521935,224.63453544627717,160.75129755216656,404.939496621488,226.86416416696267,164.24437113378522,412.46544730687265,38052200,16407400,14882700
2024-08-29,228.72549438476562,161.00009155273438,410.7156982421875,231.84099956412553,165.1698948767712,419.5937196899045,227.819721489883,159.4774685746095,408.21037518945246,229.03407107214645,163.51789374193322,412.52511339470357,51906300,19699800,17045200
2024-08-30,227.9391632080078,162.59237670898438,414.7122802734375,229.33267166766268,162.8710256601467,415.0602190186727,226.42620031745173,160.91052149182164,409.7314285183125,229.123652992766,161.8360308256332,413.18123450252676,52990800,22123800,24308300
2024-09-03,221.738037109375,156.6013946533203,407.0570983886719,227.9391727978887,161.06975458915718,417.43634095322227,220.1454429272487,155.72563212525952,404.66112073149435,227.4912604304481,160.94037643790392,415.47780496274754,50190600,38945300,20313600
2024-09-04,219.82691955566406,155.69580078125,406.5202331542969,220.75260404502964,158.23351107132694,408.8466109265116,216.47252073588626,155.20817263549011,402.01659855552833,220.6331648046219,155.90479511888367,403.5476443909062,43840200,19353800,15135800
2024-09-05,221.34983825683594,156.48199462890625,406.01318359375,224.43546851590304,158.6813323223821,410.69576288507244,220.49382156548631,155.22805902416937,403.7663270914325,220.60331260233696,155.54652368100116,405.2476455783769,36615400,18688700,14195500
2024-09-06,219.79705810546875,150.1924591064453,399.3621520996094,224.1965806221913,157.06915175843542,408.2600456523483,218.75191919539128,149.82424762233464,398.4673657515399,222.91254804497814,156.5417079408381,406.6793029587105,48423000,37912100,19609500
2024-09-09,219.88665771484375,148.1894989013672,403.3587341308594,220.24499065438135,152.86307041013015,406.27167441765806,215.70611687897429,146.70470865576445,399.8095040440946,219.79707827698536,151.97618615473306,404.8698768958274,67180000,39260500,15295100
2024-09-10,219.09033203125,148.13967895507812,411.7893981933594,220.45398059003196,150.7405443053094,413.9069762623546,215.72598515928053,147.82079168812507,405.327227721672,217.90584232481805,149.9234070877786,405.8243177579556,51591000,31118800,19594300
2024-09-11,221.6285400390625,150.63092041015625,420.57794189453125,222.05654079085224,150.96972670859367,421.52239474938517,216.88063262193214,147.00366157798018,407.19625641616165,220.43410202901993,149.39525512685503,413.08181573237965,44587100,29607700,19266900
2024-09-12,221.738037109375,154.1485595703125,424.514892578125,222.51442259643306,154.27810941261885,424.8827343519594,218.8017058249269,152.11569142274135,417.30708702498356,221.46928361366915,153.26167533883327,420.84636566939764,37455600,29621500,17395700
2024-09-13,221.4692840576172,156.90887451171875,428.0840148925781,223.00214343080088,157.82565255748864,429.31678853449597,220.8820208371711,154.66674982863708,422.98386601468917,222.54428285449177,154.88596580869884,423.3517078052634,36766600,29591200,15874600
2024-09-16,215.3179168701172,157.5067596435547,428.82965087890625,216.21374159471785,157.69609704284935,431.00690777681865,212.92902562434276,156.05187841649794,425.7278137476254,215.5368837592455,156.75938477605303,428.0939672962221,59357400,18379800,13834700
2024-09-17,215.7857208251953,158.76235961914062,432.6174621582031,215.8952118613641,159.98805014794013,439.27848092894993,213.50633585708556,157.82564734959053,429.75421863095636,214.75054527350213,158.46340663018495,437.6679140298658,45519300,20715600,18874200
2024-09-18,219.66766357421875,159.25062561035156,428.302734375,221.67831024616868,159.9382128836467,433.4923558065776,216.5322467283196,158.04486940518223,427.9050683956392,216.54221012404864,159.3004536398648,432.46835149823806,59894900,23677300,18898000
